Date,Open,High,Low,Close,Volume
2014-01-02,32.46,32.5,32.24,32.29,30632200
2014-01-03,32.33,32.35,31.81,32.08,31134800
2014-01-06,32.02,32.06,31.38,31.4,43603700
2014-01-07,31.57,31.71,31.47,31.64,35802800
2014-01-08,31.29,31.41,30.92,31.08,59971700
2014-01-09,31.18,31.21,30.76,30.88,36516300
2014-01-10,31.2,31.42,31.07,31.32,40548800
2014-01-13,31.28,31.3,30.27,30.4,45901900
2014-01-14,30.18,31.18,30.09,31.09,41623300
2014-01-15,31.2,31.97,31.15,31.95,44812600
2014-01-16,31.88,32.15,31.55,32.06,38018700
2014-01-17,32.01,32.01,31.42,31.62,46267500
2014-01-21,32.0,32.0,31.34,31.43,31567300
2014-01-22,31.51,31.56,31.07,31.22,21904300
2014-01-23,31.36,31.4,30.87,31.34,43954000
2014-01-24,32.55,32.63,31.75,31.99,76395500
2014-01-27,32.04,32.06,31.27,31.31,44420800
2014-01-28,31.39,31.62,31.07,31.52,36205500
2014-01-29,31.27,32.05,31.2,31.86,52745900
2014-01-30,31.97,32.05,31.48,32.03,35036300
2014-01-31,32.11,32.93,31.77,32.88,93162300
2014-02-03,32.8,33.01,31.66,31.7,64063100
2014-02-04,32.13,32.32,31.5,31.59,54697900
2014-02-05,31.54,31.69,31.11,31.13,55814400
2014-02-06,31.11,31.5,31.02,31.44,35351800
2014-02-07,31.56,31.8,31.29,31.77,33260500
2014-02-10,31.83,31.98,31.54,31.98,26767000
2014-02-11,32.05,32.38,32.03,32.3,32141400
2014-02-12,32.46,32.68,32.41,32.56,27051800
2014-02-13,32.44,32.9,32.44,32.68,37635500
2014-02-14,32.49,32.83,32.44,32.69,31407500
2014-02-18,32.95,33.08,32.75,32.76,32834000
2014-02-19,32.59,33.05,32.58,32.84,29750400
2014-02-20,32.89,33.16,32.75,33.05,27526100
2014-02-21,33.22,33.58,33.15,33.25,38021300
2014-02-24,33.0,33.25,32.87,33.0,32085100
2014-02-25,32.93,33.14,32.7,32.87,30736500
2014-02-26,32.9,33.04,32.56,32.81,41041800
2014-02-27,32.79,33.17,32.6,33.15,33903400
2014-02-28,33.25,33.67,33.11,33.54,41215000
2014-03-03,33.2,33.38,32.82,33.08,29717500
2014-03-04,33.45,33.69,33.33,33.63,26802400
2014-03-05,33.49,33.51,33.21,33.37,20520100
2014-03-06,33.39,33.48,33.17,33.4,23582200
2014-03-07,33.52,33.59,33.0,33.18,26591600
2014-03-10,33.26,33.28,33.03,33.11,19006600
2014-03-11,33.16,33.47,33.03,33.29,25216400
2014-03-12,33.1,33.65,33.09,33.51,30494100
2014-03-13,33.64,33.66,32.96,33.17,32169700
2014-03-14,32.96,33.39,32.84,33.01,27195600
2014-03-17,33.18,33.63,33.09,33.31,20479600
2014-03-18,33.5,34.93,33.46,34.63,64063900
2014-03-19,34.56,34.63,34.07,34.38,35597200
2014-03-20,34.37,35.59,34.36,35.31,59269800
2014-03-21,35.65,35.84,35.03,35.16,80721800
2014-03-24,35.32,35.58,34.9,35.46,46098400
2014-03-25,35.6,35.89,34.99,35.32,43193100
